light,mobility,resilience,recovery,discipline,intellect,strength,class,mode,tiers_mob,tiers_res,tiers_rec,tiers_dis,tiers_int,tiers_str,tiers,total
1560,59,100,71,55,100,39,Titan,Trials,5,10,7,5,10,3,40,424
1557,102,23,100,69,100,48,Warlock,Trials,10,2,10,6,10,4,42,442
1559,100,52,102,53,77,38,Hunter,Trials,10,5,10,5,7,3,40,422
1558,99,28,100,101,41,57,Hunter,Trials,9,2,10,10,4,5,40,426
1559,61,50,102,26,103,73,Titan,Trials,6,5,10,2,10,7,40,415
1556,47,101,53,30,100,55,Titan,Trials,4,10,5,3,10,5,37,386
1558,26,102,80,48,60,50,Titan,Trials,2,10,8,4,6,5,35,366
1566,91,51,105,32,78,56,Hunter,Control,9,5,10,3,7,5,39,413
1556,24,104,72,27,36,56,Titan,Trials,2,10,7,2,3,5,29,319
1560,101,28,108,62,105,43,Hunter,Trials,10,2,10,6,10,4,42,447
1569,58,53,82,101,50,54,Warlock,Control,5,5,8,10,5,5,38,398
1578,82,37,82,78,45,30,Hunter,Control,8,3,8,7,4,3,33,354
1576,102,29,101,45,64,62,Hunter,Control,10,2,10,4,6,6,38,403
1552,58,48,106,101,60,38,Warlock,Trials,5,4,10,10,6,3,38,411
1559,66,76,73,24,87,47,Hunter,Trials,6,7,7,2,8,4,34,373
1549,38,45,105,54,62,44,Warlock,Trials,3,4,10,5,6,4,32,348
1530,100,18,93,43,66,55,Hunter,Control,10,1,9,4,6,5,35,375
1557,100,36,104,44,109,13,Hunter,Trials,10,3,10,4,10,1,38,406
1559,100,52,102,53,77,38,Hunter,Trials,10,5,10,5,7,3,40,422
1559,61,50,102,26,103,73,Titan,Trials,6,5,10,2,10,7,40,415
1558,94,43,79,48,64,70,Warlock,Trials,9,4,7,4,6,7,37,398
1577,87,18,101,66,30,39,Hunter,Control,8,1,10,6,3,3,31,341
1558,26,102,80,48,60,50,Titan,Trials,2,10,8,4,6,5,35,366
1558,102,45,63,92,19,34,Hunter,Trials,10,4,6,9,1,3,33,355
1560,62,65,104,49,70,34,Warlock,Trials,6,6,10,4,7,3,36,384
1578,96,39,54,34,59,34,Hunter,Control,9,3,5,3,5,3,28,316
1560,70,70,102,22,83,71,Titan,Trials,7,7,10,2,8,7,41,418
1570,104,42,80,54,86,26,Hunter,Control,10,4,8,5,8,2,37,392
1531,23,69,94,45,39,50,Titan,Control,2,6,9,4,3,5,29,320
1562,47,27,41,47,28,43,Titan,Control,4,2,4,4,2,4,20,233
1557,30,40,100,62,72,51,Titan,Trials,3,4,10,6,7,5,35,355
1560,53,83,64,91,71,38,Warlock,Trials,5,8,6,9,7,3,38,400
1585,48,34,102,102,44,54,Warlock,Control,4,3,10,10,4,5,36,384
1578,100,36,101,46,81,66,Hunter,Control,10,3,10,4,8,6,41,430
1493,52,62,100,57,50,57,Warlock,Control,5,6,10,5,5,5,36,378
1557,71,99,61,16,94,81,Titan,Trials,7,9,6,1,9,8,40,422
1560,53,83,64,91,71,38,Warlock,Trials,5,8,6,9,7,3,38,400
1560,47,71,92,92,32,58,Titan,Trials,4,7,9,9,3,5,37,392
1579,102,19,103,10,104,28,Hunter,Control,10,1,10,1,10,2,34,366
1583,94,28,100,101,51,57,Hunter,Control,9,2,10,10,5,5,41,431
1455,44,64,103,60,53,55,Warlock,Control,4,6,10,6,5,5,36,379
1560,53,83,64,91,71,38,Warlock,Trials,5,8,6,9,7,3,38,400
1560,47,71,92,92,32,58,Titan,Trials,4,7,9,9,3,5,37,392
1579,102,19,103,10,104,28,Hunter,Control,10,1,10,1,10,2,34,366
1583,94,28,100,101,51,57,Hunter,Control,9,2,10,10,5,5,41,431
1455,44,64,103,60,53,55,Warlock,Control,4,6,10,6,5,5,36,379
1560,53,83,64,91,71,38,Warlock,Trials,5,8,6,9,7,3,38,400
1567,106,42,106,22,105,54,Hunter,Rumble,10,4,10,2,10,5,41,435
1560,47,71,92,92,32,58,Titan,Trials,4,7,9,9,3,5,37,392
1583,94,28,100,101,51,57,Hunter,Control,9,2,10,10,5,5,41,431
1576,100,28,107,30,90,63,Hunter,Control,10,2,10,3,9,6,40,418
1559,94,32,81,80,94,38,Warlock,Trials,9,3,8,8,9,3,40,419
1564,70,61,100,80,70,61,Warlock,Control,7,6,10,8,7,6,44,442
1578,100,22,101,40,50,106,Hunter,Control,10,2,10,4,5,10,41,419
1557,47,41,101,103,59,33,Warlock,Trials,4,4,10,10,5,3,36,384
1584,53,50,100,102,90,35,Titan,Control,5,5,10,10,9,3,42,430
1559,65,32,100,101,80,42,Warlock,Trials,6,3,10,10,8,4,41,420
1558,84,22,95,94,73,40,Warlock,Trials,8,2,9,9,7,4,39,408
1560,103,32,92,73,62,26,Hunter,Trials,10,3,9,7,6,2,37,388
1560,102,45,101,102,54,48,Hunter,Trials,10,4,10,10,5,4,43,452
1475,52,62,100,57,50,57,Warlock,Rumble,5,6,10,5,5,5,36,378
1556,53,63,67,45,51,62,Titan,Trials,5,6,6,4,5,6,32,341
1557,70,22,100,103,104,43,Warlock,Trials,7,2,10,10,10,4,43,442
1558,96,24,101,36,53,85,Hunter,Trials,9,2,10,3,5,8,37,395
1560,67,49,103,52,61,74,Hunter,Trials,6,4,10,5,6,7,38,406
1583,46,41,94,56,95,24,Titan,Control,4,4,9,5,9,2,33,356
1558,102,22,100,41,52,78,Hunter,Trials,10,2,10,4,5,7,38,395
1556,72,29,99,104,18,26,Warlock,Trials,7,2,9,10,1,2,31,348
1557,44,61,101,82,92,25,Titan,Trials,4,6,10,8,9,2,39,405
1560,90,31,101,100,38,38,Hunter,Trials,9,3,10,10,3,3,38,398
1580,100,29,37,24,29,102,Hunter,Control,10,2,3,2,2,10,29,321
1567,75,85,75,61,83,69,Hunter,Control,7,8,7,6,8,6,42,448
1557,72,60,101,66,87,28,Titan,Trials,7,6,10,6,8,2,39,414
1560,67,33,94,44,90,41,Warlock,Trials,6,3,9,4,9,4,35,369
1524,61,59,95,102,54,46,Titan,Control,6,5,9,10,5,4,39,417
1579,100,32,90,21,70,44,Hunter,Control,10,3,9,2,7,4,35,357
1580,100,29,102,100,34,33,Hunter,Control,10,2,10,10,3,3,38,398
1583,52,83,103,42,104,49,Titan,Control,5,8,10,4,10,4,41,433
1560,97,61,80,54,55,49,Hunter,Trials,9,6,8,5,5,4,37,396
1560,100,30,100,64,70,61,Hunter,Trials,10,3,10,6,7,6,42,425
1576,24,51,101,101,37,31,Warlock,Control,2,5,10,10,3,3,33,345
1529,74,52,91,51,85,28,Hunter,Control,7,5,9,5,8,2,36,381
1562,109,40,27,107,45,18,Hunter,Control,10,4,2,10,4,1,31,346
1579,52,43,105,70,72,64,Warlock,Control,5,4,10,7,7,6,39,406
1551,62,51,101,103,54,44,Titan,Control,6,5,10,10,5,4,40,415
1580,100,32,90,21,70,44,Hunter,Control,10,3,9,2,7,4,35,357
1559,100,29,102,100,34,33,Hunter,Trials,10,2,10,10,3,3,38,398
1529,99,30,72,60,51,45,Hunter,Control,9,3,7,6,5,4,34,357
1540,100,33,100,103,62,25,Hunter,Control,10,3,10,10,6,2,41,423
1560,25,47,108,101,64,72,Titan,Trials,2,4,10,10,6,7,39,417
1560,93,60,80,42,85,24,Hunter,Trials,9,6,8,4,8,2,37,384
1552,61,61,100,104,37,34,Hunter,Control,6,6,10,10,3,3,38,397
1558,45,63,103,55,107,52,Titan,Control,4,6,10,5,10,5,40,425
1502,46,64,94,24,78,79,Titan,Control,4,6,9,2,7,7,35,385
1580,67,80,42,51,41,58,Hunter,Control,6,8,4,5,4,5,32,339
1560,100,71,68,51,102,26,Hunter,Trials,10,7,6,5,10,2,40,418
1581,102,38,93,12,108,22,Hunter,Control,10,3,9,1,10,2,35,375
1553,34,32,90,63,99,30,Warlock,Trials,3,3,9,6,9,3,33,348
1560,36,69,91,38,80,43,Warlock,Trials,3,6,9,3,8,4,33,357
1549,49,30,93,96,39,44,Titan,Control,4,3,9,9,3,4,32,351
1560,84,41,103,60,103,54,Warlock,Trials,8,4,10,6,10,5,43,445
1559,109,28,105,56,78,43,Hunter,Trials,10,2,10,5,7,4,38,419
1559,96,37,90,37,94,43,Titan,Trials,9,3,9,3,9,4,37,397
1570,53,61,101,62,50,50,Warlock,Control,5,6,10,6,5,5,37,377
1584,81,47,101,102,35,60,Hunter,Control,8,4,10,10,3,6,41,426
1578,102,43,55,40,71,58,Hunter,Control,10,4,5,4,7,5,35,369
1553,48,42,106,62,83,55,Warlock,Trials,4,4,10,6,8,5,37,396
1567,100,42,103,48,106,22,Hunter,Control,10,4,10,4,10,2,40,421
1560,22,44,100,90,72,28,Warlock,Trials,2,4,10,9,7,2,34,356
1566,58,45,76,55,45,31,Warlock,Control,5,4,7,5,4,3,28,310
1584,48,31,98,101,82,32,Warlock,Control,4,3,9,10,8,3,37,392
1565,91,41,80,68,73,56,Hunter,Control,9,4,8,6,7,5,39,409
1560,43,100,23,55,105,27,Titan,Trials,4,10,2,5,10,2,33,353
1575,63,35,100,71,81,52,Warlock,Control,6,3,10,7,8,5,39,402
1576,103,26,100,22,101,30,Hunter,Control,10,2,10,2,10,3,37,382
1556,31,52,95,92,76,34,Warlock,Trials,3,5,9,9,7,3,36,380
1560,102,28,102,70,100,42,Hunter,Trials,10,2,10,7,10,4,43,444
1555,42,85,69,52,55,29,Hunter,Control,4,8,6,5,5,2,30,332
1575,64,64,64,44,41,66,Hunter,Control,6,6,6,4,4,6,32,343
1559,101,26,100,30,50,100,Hunter,Trials,10,2,10,3,5,10,40,407
1560,58,101,100,64,82,43,Titan,Trials,5,10,10,6,8,4,43,448
1558,103,18,100,41,85,25,Hunter,Trials,10,1,10,4,8,2,35,372
1555,57,37,79,94,48,35,Hunter,Trials,5,3,7,9,4,3,31,350
1574,90,48,82,46,70,82,Hunter,Control,9,4,8,4,7,8,40,418
1560,102,18,106,35,104,28,Hunter,Trials,10,1,10,3,10,2,36,393
1555,35,73,101,52,95,36,Titan,Trials,3,7,10,5,9,3,37,392
1560,95,22,105,40,90,28,Warlock,Trials,9,2,10,4,9,2,36,380
1558,89,31,43,49,78,24,Hunter,Trials,8,3,4,4,7,2,28,314
1529,70,73,51,74,59,22,Warlock,Trials,7,7,5,7,5,2,33,349
1559,22,100,50,103,39,27,Titan,Trials,2,10,5,10,3,2,32,341
1567,103,44,30,63,64,83,Hunter,Control,10,4,3,6,6,8,37,387
1556,49,61,100,104,72,37,Titan,Control,4,6,10,10,7,3,40,423
1582,100,50,101,43,90,30,Hunter,Control,10,5,10,4,9,3,41,414
1566,71,82,40,63,69,63,Titan,Control,7,8,4,6,6,6,37,388
1556,100,27,102,81,76,42,Hunter,Trials,10,2,10,8,7,4,41,428
1566,100,54,69,30,104,50,Hunter,Control,10,5,6,3,10,5,39,407
1574,104,22,100,100,28,103,Hunter,Control,10,2,10,10,2,10,44,457
1548,48,74,83,36,61,61,Hunter,Trials,4,7,8,3,6,6,34,363
1586,101,30,101,72,60,26,Warlock,Control,10,3,10,7,6,2,38,390
1560,103,32,100,84,60,54,Hunter,Trials,10,3,10,8,6,5,42,433
1559,101,26,100,30,50,100,Hunter,Trials,10,2,10,3,5,10,40,407
1570,101,42,100,40,93,46,Hunter,Control,10,4,10,4,9,4,41,422
1575,84,102,35,43,101,50,Warlock,Control,8,10,3,4,10,5,40,415
1582,31,53,104,23,90,81,Warlock,Control,3,5,10,2,9,8,37,382
1560,98,36,91,79,62,32,Hunter,Trials,9,3,9,7,6,3,37,398
1559,96,37,90,37,94,43,Titan,Trials,9,3,9,3,9,4,37,397
1560,100,26,101,91,81,47,Hunter,Trials,10,2,10,9,8,4,43,446
1563,70,48,61,44,78,23,Hunter,Control,7,4,6,4,7,2,30,324
1554,52,62,84,20,98,35,Warlock,Trials,5,6,8,2,9,3,33,351
1559,61,91,100,78,70,50,Titan,Trials,6,9,10,7,7,5,44,450
1558,101,53,102,92,54,38,Hunter,Trials,10,5,10,9,5,3,42,440
1563,91,41,53,61,60,26,Hunter,Control,9,4,5,6,6,2,32,332
1558,29,93,107,83,50,35,Titan,Trials,2,9,10,8,5,3,37,397
1540,87,34,33,43,52,33,Hunter,Control,8,3,3,4,5,3,26,282
1580,68,104,38,26,42,65,Titan,Control,6,10,3,2,4,6,31,343
1579,23,88,49,103,50,45,Warlock,Control,2,8,4,10,5,4,33,358
1572,102,50,72,30,88,41,Hunter,Control,10,5,7,3,8,4,37,383
1365,86,33,58,52,52,39,Titan,Control,8,3,5,5,5,3,29,320
1578,28,47,101,83,46,39,Warlock,Control,2,4,10,8,4,3,31,344
1559,101,95,41,45,100,59,Titan,Trials,10,9,4,4,10,5,42,441
1544,32,48,48,45,42,35,Titan,Control,3,4,4,4,4,3,22,250
1575,33,82,75,65,58,97,Warlock,Control,3,8,7,6,5,9,38,410
1557,50,54,96,31,104,38,Warlock,Trials,5,5,9,3,10,3,35,373
1588,75,66,100,35,100,49,Titan,Control,7,6,10,3,10,4,40,425
1560,44,90,108,43,75,52,Titan,Trials,4,9,10,4,7,5,39,412
1558,105,76,73,32,96,72,Hunter,Trials,10,7,7,3,9,7,43,454
1559,101,42,35,98,28,52,Hunter,Trials,10,4,3,9,2,5,33,356
1557,60,31,102,92,51,30,Warlock,Trials,6,3,10,9,5,3,36,366
1560,106,22,101,63,59,51,Hunter,Trials,10,2,10,6,5,5,38,402
1560,29,100,103,65,83,45,Titan,Trials,2,10,10,6,8,4,40,425
1560,56,84,100,28,105,65,Titan,Trials,5,8,10,2,10,6,41,438
1584,48,103,101,101,51,30,Titan,Control,4,10,10,10,5,3,42,434
1569,100,50,100,51,58,59,Hunter,Control,10,5,10,5,5,5,40,418
1560,103,32,100,84,60,54,Hunter,Trials,10,3,10,8,6,5,42,433
1560,42,102,52,79,58,23,Titan,Trials,4,10,5,7,5,2,33,356
1531,61,33,100,101,50,81,Warlock,Control,6,3,10,10,5,8,42,426
1551,101,22,101,50,28,75,Hunter,Trials,10,2,10,5,2,7,36,377
1558,59,62,69,82,50,62,Warlock,Trials,5,6,6,8,5,6,36,384
1558,105,76,73,32,96,72,Hunter,Trials,10,7,7,3,9,7,43,454
1560,101,32,104,71,61,32,Hunter,Trials,10,3,10,7,6,3,39,401
1584,103,40,73,70,60,32,Hunter,Control,10,4,7,7,6,3,37,378
1557,60,31,102,92,51,30,Warlock,Trials,6,3,10,9,5,3,36,366
1584,48,103,101,101,51,30,Titan,Control,4,10,10,10,5,3,42,434
1571,31,79,56,68,106,37,Warlock,Control,3,7,5,6,10,3,34,377
1559,103,32,100,84,60,54,Hunter,Trials,10,3,10,8,6,5,42,433
1532,61,33,100,101,50,81,Warlock,Control,6,3,10,10,5,8,42,426
1551,101,22,101,50,28,75,Hunter,Trials,10,2,10,5,2,7,36,377
1583,53,49,100,91,72,59,Warlock,Control,5,4,10,9,7,5,40,424
1585,61,91,100,78,70,50,Titan,Survival,6,9,10,7,7,5,44,450
1514,73,79,68,20,95,34,Titan,Control,7,7,6,2,9,3,34,369
1556,24,53,109,50,92,50,Warlock,Trials,2,5,10,5,9,5,36,378
1564,76,29,42,49,58,43,Hunter,Control,7,2,4,4,5,4,26,297
1529,100,50,101,43,90,40,Hunter,Rumble,10,5,10,4,9,4,42,424
1559,75,42,101,96,62,33,Titan,Trials,7,4,10,9,6,3,39,409
1536,32,71,22,44,22,42,Titan,Control,3,7,2,4,2,4,22,233
1560,101,28,100,65,58,71,Hunter,Trials,10,2,10,6,5,7,40,423
1559,87,41,50,16,78,71,Hunter,Trials,8,4,5,1,7,7,32,343
1560,103,32,100,84,60,54,Hunter,Trials,10,3,10,8,6,5,42,433
1560,40,85,36,75,100,20,Titan,Trials,4,8,3,7,10,2,34,356
1557,61,33,100,101,50,81,Warlock,Control,6,3,10,10,5,8,42,426
1552,100,26,97,27,20,84,Hunter,Trials,10,2,9,2,2,8,33,354
1557,78,29,100,30,69,53,Warlock,Trials,7,2,10,3,6,5,33,359
1550,92,37,86,52,38,65,Hunter,Trials,9,3,8,5,3,6,34,370
1555,102,60,102,21,102,21,Hunter,Trials,10,6,10,2,10,2,40,408
1560,104,36,101,107,56,38,Hunter,Trials,10,3,10,10,5,3,41,442
1560,61,80,100,62,91,50,Titan,Trials,6,8,10,6,9,5,44,444
1551,55,72,105,69,64,44,Hunter,Control,5,7,10,6,6,4,38,409
1559,51,62,104,90,61,38,Warlock,Trials,5,6,10,9,6,3,39,406
1499,100,24,100,62,63,32,Hunter,Control,10,2,10,6,6,3,37,381
1587,19,83,97,35,104,38,Titan,Control,1,8,9,3,10,3,34,376
1585,103,32,102,83,42,58,Hunter,Control,10,3,10,8,4,5,40,420
1560,30,56,108,72,30,26,Warlock,Trials,3,5,10,7,3,2,30,322
1581,42,60,101,66,44,40,Warlock,Control,4,6,10,6,4,4,34,353
1560,103,18,101,104,50,70,Hunter,Trials,10,1,10,10,5,7,43,446
1557,30,62,45,46,67,43,Warlock,Control,3,6,4,4,6,4,27,293
1559,25,104,51,102,26,24,Titan,Trials,2,10,5,10,2,2,31,332
1556,50,44,87,90,72,40,Warlock,Control,5,4,8,9,7,4,37,383
1581,61,59,84,45,47,85,Warlock,Control,6,5,8,4,4,8,35,381
1560,92,61,68,53,66,34,Hunter,Trials,9,6,6,5,6,3,35,374
1554,12,86,80,66,28,40,Titan,Trials,1,8,8,6,2,4,29,312
1560,18,100,101,70,70,31,Titan,Trials,1,10,10,7,7,3,38,390
1569,102,28,102,44,61,60,Hunter,Control,10,2,10,4,6,6,38,397
1553,58,71,103,75,45,37,Titan,Trials,5,7,10,7,4,3,36,389
1560,54,47,81,70,94,18,Warlock,Trials,5,4,8,7,9,1,34,364
1585,103,32,102,83,42,58,Hunter,Control,10,3,10,8,4,5,40,420
1579,101,42,51,94,40,19,Hunter,Control,10,4,5,9,4,1,33,347
1576,105,28,106,31,101,51,Hunter,Control,10,2,10,3,10,5,40,422
1552,42,78,104,84,49,28,Hunter,Control,4,7,10,8,4,2,35,385
1555,91,68,62,62,82,47,Hunter,Trials,9,6,6,6,8,4,39,412
1552,53,56,95,22,107,39,Titan,Trials,5,5,9,2,10,3,34,372
1560,100,29,103,47,80,32,Titan,Trials,10,2,10,4,8,3,37,391
1557,75,53,45,98,68,72,Hunter,Trials,7,5,4,9,6,7,38,411
1558,56,33,61,77,38,64,Warlock,Trials,5,3,6,7,3,6,30,329
1579,54,50,101,61,81,50,Warlock,Control,5,5,10,6,8,5,39,397
1583,42,70,102,46,52,73,Titan,Control,4,7,10,4,5,7,37,385
1560,60,44,104,100,80,53,Titan,Trials,6,4,10,10,8,5,43,441
1558,67,41,103,102,48,22,Warlock,Trials,6,4,10,10,4,2,36,383
1558,44,32,101,102,50,60,Warlock,Trials,4,3,10,10,5,6,38,389
1551,43,41,62,122,37,18,Warlock,Trials,4,4,6,12,3,1,30,323
1560,100,51,91,83,58,43,Hunter,Trials,10,5,9,8,5,4,41,426
1555,101,68,62,62,72,47,Hunter,Trials,10,6,6,6,7,4,39,412
1559,71,43,103,92,49,45,Warlock,Trials,7,4,10,9,4,4,38,403
1557,93,25,107,61,51,41,Hunter,Trials,9,2,10,6,5,4,36,378
1560,100,29,103,47,80,32,Titan,Trials,10,2,10,4,8,3,37,391
1583,75,53,45,98,68,72,Hunter,Control,7,5,4,9,6,7,38,411
1555,92,60,92,21,102,41,Hunter,Trials,9,6,9,2,10,4,40,408
1548,58,74,51,51,57,49,Warlock,Control,5,7,5,5,5,4,31,340
1559,35,70,77,73,33,56,Titan,Trials,3,7,7,7,3,5,32,344
1554,48,54,103,80,78,23,Warlock,Trials,4,5,10,8,7,2,36,386
1577,47,96,92,43,47,56,Titan,Control,4,9,9,4,4,5,35,381
1560,109,32,100,49,91,37,Hunter,Trials,10,3,10,4,9,3,39,418
1560,47,97,76,52,71,57,Titan,Trials,4,9,7,5,7,5,37,400
1550,33,105,55,50,62,39,Titan,Trials,3,10,5,5,6,3,32,344
1550,81,35,91,102,32,22,Hunter,Trials,8,3,9,10,3,2,35,363
1550,24,61,91,25,61,41,Warlock,Control,2,6,9,2,6,4,29,303
1571,108,33,29,82,104,36,Hunter,Control,10,3,2,8,10,3,36,392
1553,101,25,51,30,50,48,Hunter,Control,10,2,5,3,5,4,29,305
1560,51,55,103,50,90,37,Warlock,Trials,5,5,10,5,9,3,37,386
1546,69,56,56,47,62,57,Warlock,Control,6,5,5,4,6,5,31,347
1548,71,35,104,80,24,80,Warlock,Control,7,3,10,8,2,8,38,394
1577,18,62,101,103,61,70,Warlock,Control,1,6,10,10,6,7,40,415
1560,28,100,101,70,80,31,Titan,Trials,2,10,10,7,8,3,40,410
1558,70,44,92,55,88,52,Warlock,Trials,7,4,9,5,8,5,38,401
1575,92,60,92,21,102,41,Hunter,Control,9,6,9,2,10,4,40,408
1559,35,70,77,73,33,56,Titan,Trials,3,7,7,7,3,5,32,344
1559,46,97,43,47,76,22,Titan,Trials,4,9,4,4,7,2,30,331
1569,48,54,103,80,78,23,Warlock,Control,4,5,10,8,7,2,36,386
1560,109,32,100,49,91,37,Hunter,Trials,10,3,10,4,9,3,39,418
1560,47,97,76,52,71,57,Titan,Trials,4,9,7,5,7,5,37,400
1550,33,105,55,50,62,39,Titan,Trials,3,10,5,5,6,3,32,344
1560,75,43,73,79,49,47,Hunter,Trials,7,4,7,7,4,4,33,366
1576,100,22,100,37,81,61,Hunter,Control,10,2,10,3,8,6,39,401
1550,81,35,91,102,32,22,Hunter,Trials,8,3,9,10,3,2,35,363
1550,24,61,91,25,61,41,Warlock,Control,2,6,9,2,6,4,29,303
1560,101,33,103,38,111,49,Warlock,Trials,10,3,10,3,11,4,41,435
1556,100,43,100,45,105,26,Hunter,Trials,10,4,10,4,10,2,40,419
1571,108,33,29,82,104,36,Hunter,Control,10,3,2,8,10,3,36,392
1560,51,55,103,50,90,37,Warlock,Trials,5,5,10,5,9,3,37,386
1546,69,56,56,47,62,57,Warlock,Control,6,5,5,4,6,5,31,347
1560,29,102,100,30,90,62,Titan,Trials,2,10,10,3,9,6,40,413
1557,79,58,43,51,38,49,Hunter,Control,7,5,4,5,3,4,28,318
1556,51,32,100,43,77,32,Hunter,Trials,5,3,10,4,7,3,32,335
1556,32,67,98,20,113,41,Titan,Trials,3,6,9,2,11,4,35,371
1554,68,61,40,44,70,41,Warlock,Control,6,6,4,4,7,4,31,324
1580,101,20,102,62,102,36,Hunter,Control,10,2,10,6,10,3,41,423
1559,50,60,100,80,51,48,Warlock,Trials,5,6,10,8,5,4,38,389
1560,61,38,100,76,60,80,Warlock,Trials,6,3,10,7,6,8,40,415
1585,33,51,100,103,84,32,Warlock,Control,3,5,10,10,8,3,39,403
1571,86,34,102,32,93,26,Hunter,Control,8,3,10,3,9,2,35,373
1580,51,62,104,90,61,38,Warlock,Survival,5,6,10,9,6,3,39,406
1559,62,61,73,84,49,28,Warlock,Trials,6,6,7,8,4,2,33,357
1520,93,29,95,70,62,64,Hunter,Control,9,2,9,7,6,6,39,413
1555,32,67,98,20,113,41,Titan,Trials,3,6,9,2,11,4,35,371
1541,105,29,69,25,89,32,Hunter,Trials,10,2,6,2,8,3,31,349
1559,50,60,100,80,51,48,Warlock,Trials,5,6,10,8,5,4,38,389
1556,62,43,100,40,100,33,Warlock,Control,6,4,10,4,10,3,37,378
1558,57,49,101,79,77,43,Warlock,Trials,5,4,10,7,7,4,37,406
1596,100,38,100,46,114,32,Hunter,Control,10,3,10,4,11,3,41,430
1582,71,31,103,33,104,44,Warlock,Survival,7,3,10,3,10,4,37,386
1567,59,44,83,55,30,38,Warlock,Control,5,4,8,5,3,3,28,309
1546,89,34,78,74,81,26,Hunter,Control,8,3,7,7,8,2,35,382
1504,24,61,86,25,61,41,Warlock,Control,2,6,8,2,6,4,28,298
1560,52,26,104,102,40,33,Hunter,Trials,5,2,10,10,4,3,34,357
1565,100,34,100,73,72,13,Hunter,Control,10,3,10,7,7,1,38,392
1550,74,53,76,51,55,63,Hunter,Trials,7,5,7,5,5,6,35,372
